pid|manufacturer|group|content|unit|pharmForm|genericProduct|salesIndex|category|campaignIndex|rrp
1|1|2FOI|80|ST|TAB|0|40|||10.89
2|1|2FOI|80|ST|Tab|0|40|||10.89
3|1|2FOI|10|G|GLO|0|40|||16.45
4|1|2FOI|80|ST|TAB|0|40|||10.89
5|2|10OJ03JS|8|ST|PUL|0|40|1||22.53
6|1|2FOI|10|G|GLO|0|40|2||9.85
7|3|21OKG|15|ST|TRA|0|53|3||21.45
8|1|2FOI|80|ST|TAB|0|40|2||10.89
9|1|2FOI|10|G|GLO|0|40|||9.85
10|4|12OS2F|30|ST|FTA|0|40|4|A|21.99
11|4|12OS2F|60|ST|FTA|0|40|4|A|38.49
12|5|10OZ12OI|14|ST|KMR|1|40|5||9.85
13|6|22OI3|30|ML|CRE|0|53|6||15.29
14|7|14OI03OI|7|ST|VSU|0|53|7||13.72
15|7|14OI03OI|14|ST|VSU|0|53|7||21.86
16|2|10OJ03JS|8|ST|PUL|0|40|1||22.53
17|8|22OI3|75|ML|CRE|0|53|8||14.25
18|9|22OI9|30|ML|AEO|0|53|9||8.69
19|9|22OI3|10|ML|EMU|0|53|10||9.90
20|9|22OI3|10|ML|EMU|0|53|10||9.90
21|9|22OI3|10|ML|EMU|0|53|10||9.90
22|9|22OI9|100|ML|KON|0|53|||15.40
23|10|10OS0F|20|ML|TRO|0|52|11||6.33
24|11|20OI0|1|ST|KOM|0|53|12||0.78
25|12|22OI3|250|ML|GEL|0|53|4||6.55
26|13|2EOZ|15|ST|TUE|0|53|||2.62
27|11|20OI3|1|ST|PFL|0|53|||3.61
28|11|20OI3|1|ST|PFL|0|53|12||1.54
29|11|20OI3|1|ST|PFL|0|53|12||2.18
30|11|20OI3|1|ST|PFL|0|53|||0.34
31|14|22OIF|5X10|ML||0|53|13||15.40
32|15|22OIG|1|ST|BTA|0|53|14||6.49
33|15|22OIG|1|ST||0|53|15||15.95
34|16|24OZ|125|ML|GEL|0|53|16||18.64
35|9|22OI3|100|ML|XPK|0|53|8||14.85
36|17|2FOI|30|ML|TRO|0|40|17||11.90
37|14|22OIF|100|ML|BAL|0|53|13||15.29
38|18|1COS21OI|20|ST|BTA|1|40|18|B|12.76
39|19|22OI9|100|ML|OEL|0|53|||14.58
40|15|22OIG|1|ST||0|53|14||6.49
41|15|22OIG|1|ST||0|53|14||6.49
42|19|21OKG|90|ST|KAP|0|53|3||34.65
43|20|21OKG|160|ST|PAS|0|53|19|B|19.24
44|20|21OKG|400|ST|PAS|0|53||B|45.64
45|21|20OH0|3|ST||0|53|20||6.05
46|22|23|125|G|TAB|0|53|21||10.77
47|23|22OI5|75|ML|SPR|0|53|||19.47
48|24|12OIE1OH|50|ST|FTA|0|40|22||15.41
49|24|12OIE1OH|100|ST|FTA|0|40|22||24.75
50|25|20OK1|1|ST||0|53|||1.25
51|26|2FOI|100|ST|TAB|0|40|23||17.15
52|27|22OI3|150|ML|TIN|0|53|24||11.55
53|28|21OK4|90|ST|KAP|0|53|3||24.70
54|29|18OZ0FIO|100|ML|EMU|0|40|25||8.07
55|30|20OK2|50|ML|FLU|0|53|12||7.83
56|31|21OK3|14X20|G|TRA|0|53|3||30.64
57|9|22OI3|100|ML|Xpk|0|53|8||14.19
58|32|21OJ0|46|G|BON|0|53|26||1.65
59|32|21OJ0|72|G|BON|0|53|26|B|2.40
60|32|21OJ0|72|G|BON|0|53|26|B|2.07
61|32|21OJ0|72|G|BON|0|53|26||2.40
62|33|13OZ0ESI|50|G|CRE|0|40|8||8.91
63|33|13OZ0ESI|200|G|CRE|0|40|8||30.47
64|10|18OI0F|50|ST|FTA|0|40|27||17.77
65|10|18OI0F|100|ST|FTA|0|40|27||28.55
66|34|21OK0|100|G|PUL|0|53|3||3.62
67|34|21OK3|60|ST|TAB|0|53|28||11.87
68|35|21OKG|90|ST|KAP|0|53|3||23.38
69|23|22OI3|100|ML|CRE|0|53|29||22.99
70|36|21OKG|400|ML|TRO|0|53|30||225.50
71|37|1COSF|20|ML|TRO|0|52|18|B|5.65
72|9|22OI3|100|ML||0|53|10||16.39
73|38|20OH3|25|ST||0|53|31||98.45
74|39|20OH9|2|ST||0|53|||7.25
75|23|22OI2|200|ML|SCH|0|53|24||13.97
76|40|21OIE|150|ST|TAB|0|53|32||25.25
77|41|22OI0|0.25|G|STI|0|53|6||12.65
78|38|20OH7|1|ST||0|53|33||0.64
79|38|20OH7|1|ST||0|53|33||0.64
